state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,lat,long
HI,618,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,30476,,,70,,,,,526,4/30/2020 0:00,5/1/2020 15:40,16,70,31094,31094,31094,15,2020-04-30T04:00:00Z,2020-05-01T19:40:00Z,20.46,-157.505
IA,7884,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,37708,,345,,121,,91,,2899,4/30/2020 12:00,5/1/2020 15:20,170,,45592,45592,45592,19,2020-04-30T16:00:00Z,2020-05-01T19:20:00Z,41.9383166,-93.389798
ID,2015,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,27210,,,178,,75,,,1175,4/30/2020 19:00,5/1/2020 15:47,63,178,29225,29225,29225,16,2020-04-30T23:00:00Z,2020-05-01T19:47:00Z,43.4945756,-114.1424303
IL,56055,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,228633,,4900,,1263,,777,,,5/1/2020 0:00,5/1/2020 16:41,2457,,284688,284688,284688,17,2020-05-01T04:00:00Z,2020-05-01T20:41:00Z,39.739318,-89.504139
IN,18630,1,1,1,0,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,81009,,1431,,514,,257,,,4/30/2020 23:59,5/1/2020 15:44,1175,,99639,99639,99639,18,2020-05-01T03:59:00Z,2020-05-01T19:44:00Z,39.7662195,-86.441277
KS,4449,1,1,1,0,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,28585,,,534,,206,,96,280,5/1/2020 10:00,5/1/2020 14:49,130,534,33034,33034,33034,20,2020-05-01T14:00:00Z,2020-05-01T18:49:00Z,38.4987789,-98.3200779
KY,4708,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,51904,,330,1375,178,642,,,1675,4/30/2020 17:00,5/1/2020 16:58,240,1375,56612,56612,56612,21,2020-04-30T21:00:00Z,2020-05-01T20:58:00Z,37.8222935,-85.7682399
LA,28711,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,139540,,1607,,,,230,,17303,5/1/2020 13:00,5/1/2020 14:56,1927,,168251,168251,168251,22,2020-05-01T17:00:00Z,2020-05-01T18:56:00Z,30.9733766,-91.4299097
MA,64311,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,225325,,3716,6169,947,,,,,5/1/2020 12:00,5/1/2020 16:55,3716,6169,289636,289636,289636,25,2020-05-01T16:00:00Z,2020-05-01T20:55:00Z,42.4629398,-71.718067
MD,23472,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,97511,,1668,4718,568,,,,1517,5/1/2020 10:00,5/1/2020 16:57,1192,4718,120983,120983,120983,24,2020-05-01T14:00:00Z,2020-05-01T20:57:00Z,38.8063524,-77.2684162
